TAGID,Date,Area,H2,O2,N2,C2H2,C2H4,C2H6,CH4,CO
3328TR001A,22/12/2022,GSP3,-,-,-,-,-,-,-,-
3328TR001A,21/12/2022,GSP3,22,21843,55433,0,76,20,4,185
3328TR001A,24/12/2021,GSP3,-,-,-,-,-,-,-,-
3328TR001A,25/11/2021,GSP3,-,-,-,-,-,-,-,-
3328TR001A,24/11/2021,GSP3,-,-,-,-,-,-,-,-
3328TR001A,23/11/2021,GSP3,-,-,-,-,-,-,-,-
3328TR001A,22/11/2021,GSP3,-,-,-,-,-,-,-,-
3328TR001A,21/11/2021,GSP3,-,-,-,-,-,-,-,-
3328TR001A,20/11/2021,GSP3,14,26374,65965,3,118,26,8,141
3328TR001A,15/7/2021,GSP3,-,-,-,-,-,-,-,-
3328TR001A,23/11/2020,GSP3,13,9285,26909,0,131,25,9,113
3328TR001A,22/11/2020,GSP3,-,-,-,-,-,-,-,-
3328TR001A,28/11/2019,GSP3,10,6584,23437,0,248,43,35,106
3328TR001A,13/11/2019,GSP3,-,-,-,-,-,-,-,-
3328TR001A,11/12/2018,GSP3,28,20413,58728,3,525,71,260,169
3328TR001A,25/12/2017,GSP3,-,-,-,-,-,-,-,-
3328TR001A,15/12/2017,GSP3,-,-,-,-,-,-,-,-
3328TR001A,14/12/2017,GSP3,21,19602,53854,0,31,6,3,216
3328TR001A,14/12/2016,GSP3,-,-,-,-,-,-,-,-
3328TR001A,23/11/2015,GSP3,-,-,-,-,-,-,-,-
3328TR001A,29/1/2015,GSP3,-,-,-,-,-,-,-,-
3328TR001A,25/11/2013,GSP3,-,-,-,-,-,-,-,-
,,,,,,,,,,
3328TR001B,23/12/2022,GSP3,-,-,-,-,-,-,-,-
3328TR001B,22/12/2022,GSP3,-,-,-,-,-,-,-,-
3328TR001B,21/12/2022,GSP3,17,25342,61054,0,1,1,4,136
3328TR001B,24/12/2021,GSP3,-,-,-,-,-,-,-,-
3328TR001B,25/11/2021,GSP3,-,-,-,-,-,-,-,-
3328TR001B,24/11/2021,GSP3,-,-,-,-,-,-,-,-
3328TR001B,23/11/2021,GSP3,-,-,-,-,-,-,-,-
3328TR001B,22/11/2021,GSP3,-,-,-,-,-,-,-,-
3328TR001B,21/11/2021,GSP3,-,-,-,-,-,-,-,-
3328TR001B,20/11/2021,GSP3,11,27101,64912,0,2,1,4,119
3328TR001B,15/7/2021,GSP3,-,-,-,-,-,-,-,-
3328TR001B,23/11/2020,GSP3,8,9085,24963,0,1,0,2,72
3328TR001B,22/11/2020,GSP3,-,-,-,-,-,-,-,-
3328TR001B,28/11/2019,GSP3,7,7551,24371,0,3,1,2,75
3328TR001B,13/11/2019,GSP3,-,-,-,-,-,-,-,-
3328TR001B,11/12/2018,GSP3,0,20219,53888,0,0,0,0,99
3328TR001B,25/12/2017,GSP3,-,-,-,-,-,-,-,-
3328TR001B,15/12/2017,GSP3,-,-,-,-,-,-,-,-
3328TR001B,14/12/2017,GSP3,15,23345,59064,0,0,0,3,149
3328TR001B,14/12/2016,GSP3,-,-,-,-,-,-,-,-
3328TR001B,23/11/2015,GSP3,-,-,-,-,-,-,-,-
3328TR001B,29/1/2015,GSP3,-,-,-,-,-,-,-,-
3328TR001B,25/11/2013,GSP3,-,-,-,-,-,-,-,-
,,,,,,,,,,
3328TR002A,23/12/2022,GSP3,-,-,-,-,-,-,-,-
3328TR002A,22/12/2022,GSP3,-,-,-,-,-,-,-,-
3328TR002A,21/12/2022,GSP3,21,25933,60271,0,12,1,5,43
3328TR002A,24/12/2021,GSP3,-,-,-,-,-,-,-,-
3328TR002A,25/11/2021,GSP3,-,-,-,-,-,-,-,-
